year,func,value
2020,050,715529
2020,150,51638
2020,250,34036
2020,270,7344
2020,300,43467
2020,350,38834
2020,370,10348
2020,400,98997
2020,450,28648
2020,500,108233
2020,550,599264
2020,570,702056
2020,600,523765
2020,650,1099789
2020,700,213533
2020,750,68877
2020,800,24678
2020,900,382205
2021,050,740429
2021,150,52576
2021,250,35844
2021,270,5291
2021,300,46930
2021,350,24860
2021,370,12638
2021,400,101997
2021,450,31239
2021,500,116454
2021,550,620116
2021,570,748483
2021,600,532529
2021,650,1164264
2021,700,231088
2021,750,70308
2021,800,24842
2021,900,394367
2022,050,764299
2022,150,54400
2022,250,37726
2022,270,5025
2022,300,48303
2022,350,25725
2022,370,15608
2022,400,105145
2022,450,33099
2022,500,124193
2022,550,647964
2022,570,844644
2022,600,558210
2022,650,1236492
2022,700,249222
2022,750,72831
2022,800,25922
2022,900,423562
2023,050,779494
2023,150,55330
2023,250,38852
2023,270,4528
2023,300,50710
2023,350,26940
2023,370,15437
2023,400,107631
2023,450,34285
2023,500,120197
2023,550,682140
2023,570,870160
2023,600,569514
2023,650,1313185
2023,700,248362
2023,750,75147
2023,800,25906
2023,900,469775
2024,050,793807
2024,150,56953
2024,250,39726
2024,270,4728
2024,300,51923
2024,350,26796
2024,370,17119
2024,400,109185
2024,450,34682
2024,500,122545
2024,550,717978
2024,570,886892
2024,600,575311
2024,650,1392949
2024,700,245355
2024,750,76331
2024,800,26222
2024,900,515109
2025,050,818895
2025,150,58601
2025,250,40591
2025,270,4744
2025,300,53204
2025,350,26794
2025,370,18479
2025,400,111611
2025,450,34874
2025,500,125005
2025,550,757490
2025,570,999415
2025,600,594531
2025,650,1475248
2025,700,264900
2025,750,78820
2025,800,26982
2025,900,560759
2026,050,837935
2026,150,60364
2026,250,41488
2026,270,4622
2026,300,54799
2026,350,26754
2026,370,17673
2026,400,113659
2026,450,34918
2026,500,127680
2026,550,796640
2026,570,1070006
2026,600,617449
2026,650,1560058
2026,700,272915
2026,750,80588
2026,800,27467
2026,900,608544
2027,050,857887
2027,150,62067
2027,250,42391
2027,270,4752
2027,300,56051
2027,350,26567
2027,370,16985
2027,400,115915
2027,450,35527
2027,500,129974
2027,550,835551
2027,570,1144568
2027,600,613307
2027,650,1649279
2027,700,281221
2027,750,81917
2027,800,28193
2027,900,658174
2028,050,883801
2028,150,63764
2028,250,43314
2028,270,6922
2028,300,57261
2028,350,27030
2028,370,16870
2028,400,118118
2028,450,36457
2028,500,132259
2028,550,877064
2028,570,1289214
2028,600,637415
2028,650,1742032
2028,700,302496
2028,750,83921
2028,800,28961
2028,900,711008
2029,050,893075
2029,150,65310
2029,250,44242
2029,270,7465
2029,300,58565
2029,350,26967
2029,370,16322
2029,400,120421
2029,450,37051
2029,500,134509
2029,550,922131
2029,570,1243351
2029,600,628088
2029,650,1836315
2029,700,285339
2029,750,86014
2029,800,29737
2029,900,761224
2030,050,921396
2030,150,66818
2030,250,45196
2030,270,7732
2030,300,59917
2030,350,27130
2030,370,15913
2030,400,122811
2030,450,37758
2030,500,137034
2030,550,969362
2030,570,1425492
2030,600,654786
2030,650,1934006
2030,700,307776
2030,750,95703
2030,800,30531
2030,900,818801
